university,degree,median_entry_salary
Anglia Ruskin University,Bachelor of Science (BS / BSc),30591.610008699383
Anglia Ruskin University,Bachelor of Arts (BA),25780.266561998564
Anglia Ruskin University,Bachelor's Degree,31899.68711651886
Anglia Ruskin University,Bachelor of Engineering (BEng / BE),32426.96017460881
Anglia Ruskin University,Master of Arts (MA),27752.85710181689
Anglia Ruskin University,Master of Science (MS),33280.00114425074
Anglia Ruskin University,Master of Business Administration (MBA),37250.00042695923
Anglia Ruskin University,Doctor of Philosophy (PhD),34500.000853918464
Anglia Ruskin University,Post Graduate Diploma,39305.40728933231
Anglia Ruskin University,Bachelor of Music (BMus / BM),19055.000461115967
Anglia Ruskin University,"Bachelor of Science (BS / BSc), Building Surveying",35999.99935956115
Anglia Ruskin University,"Bachelor's Degree, Interior Design",22999.99914608154
Anglia Ruskin University,Master of Management (MMgt / MM),25961.538856286275
Anglia Ruskin University,Master's Degree,28500.000426959232
Aston University,Bachelor of Science (BS / BSc),31516.502782469703
Aston University,Bachelor of Engineering (BEng / BE),34218.72734762106
Aston University,Master of Science (MS),32078.551098469623
Aston University,Master of Engineering (MEng / ME),27837.991555580506
Aston University,Doctor of Philosophy (PhD),42720.2800072511
Aston University,Bachelor's Degree,35000.0
Aston University,Master of Arts (MA),37999.999146081536
Aston University,Master of Computer Science (MCS),45000.0
Aston University,Bachelor of Arts (BA),22000.00085391846
Aston University,Bachelor of Business Studies (BBS),30750.00085391846
Aston University,Bachelor of Accountancy (BAcc),60000.0
Aston University,"Bachelor of Science, Mechanical Engineering (BSME)",30574.99987191223
Bournemouth University,Bachelor of Arts (BA),26211.25730716465
Bournemouth University,Bachelor of Science (BS / BSc),30662.749673768307
Bournemouth University,Bachelor's Degree,29991.073999914184
Bournemouth University,Master of Science (MS),31638.282902203282
Bournemouth University,Bachelor of Engineering (BEng / BE),33459.94969353332
Bournemouth University,Master of Arts (MA),26674.80187720101
Bournemouth University,Bachelor of Business Studies (BBS),36999.999786520384
Bournemouth University,Graduate Certificate,35000.0
Bournemouth University,Master of Management (MMgt / MM),29073.00531188847
Bournemouth University,Certificate (Cert),32000.00085391846
Bournemouth University,"Bachelor of Arts (BA), Public Relations (PR)",24565.879555832667
Bournemouth University,"Certificate (Cert), Retail Management",20000.0
Bournemouth University,Bachelor of Finance (BFin),33624.999146081536
